,neighbourhood,count,average_price,avg_min_stay,Entire ($),Private ($),Shared ($),Home (#),Private (#),Shared (#)
0,Saint-Léonard,55,89.51,14.7,107.49,45.69,0.0,39,16,0
1,Rivière-des-Prairies-Pointe-aux-Trembles,68,211.0,13.2,109.03,322.03,14.0,34,33,1
2,Hampstead,23,205.04,10.1,291.93,50.17,18.0,15,6,2
3,Montréal-Est,5,33.6,6.8,39.0,32.25,0.0,1,4,0
4,Dorval,63,125.95,7.5,181.45,64.9,0.0,33,30,0
5,Le Plateau-Mont-Royal,5616,118.64,6.6,139.05,73.42,35.56,3884,1707,25
6,Villeray-Saint-Michel-Parc-Extension,1081,75.45,7.2,89.69,47.03,56.0,718,353,10
7,Côte-des-Neiges-Notre-Dame-de-Grâce,1284,88.69,9.2,117.95,46.36,37.14,762,501,21
8,Outremont,271,108.07,20.6,137.58,56.22,210.67,167,101,3
9,Saint-Laurent,173,92.17,12.3,115.52,51.32,53.33,110,60,3
10,Dollard-des-Ormeaux,43,98.88,3.7,161.88,52.91,84.0,17,22,4
11,Ahuntsic-Cartierville,310,78.86,6.7,92.97,43.91,16.5,222,86,2
12,L'Île-Bizard-Sainte-Geneviève,20,169.15,3.0,268.27,48.0,0.0,11,9,0
13,Verdun,473,80.32,7.2,102.81,44.84,36.0,290,180,3
14,Pierrefonds-Roxboro,53,107.0,11.5,160.76,42.04,0.0,29,24,0
15,Westmount,106,128.23,8.1,152.64,76.53,0.0,72,34,0
16,Anjou,53,73.87,11.1,94.56,42.33,0.0,32,21,0
17,Kirkland,10,93.0,3.0,125.4,60.6,0.0,5,5,0
18,Mercier-Hochelaga-Maisonneuve,925,75.97,8.1,92.52,46.38,32.33,596,320,9
19,Pointe-Claire,53,105.34,3.6,156.81,55.78,0.0,26,27,0
20,Senneville,1,677.0,2.0,677.0,0.0,0.0,1,0,0
21,Le Sud-Ouest,1127,108.34,24.6,136.38,50.23,77.3,757,360,10
22,Ville-Marie,5208,134.66,9.2,151.06,70.37,56.71,4160,985,63
23,Baie-d'Urfé,7,383.43,2.6,430.67,100.0,0.0,6,1,0
24,Montréal-Ouest,11,86.82,4.9,83.75,95.0,0.0,8,3,0
25,Sainte-Anne-de-Bellevue,4,73.0,2.5,113.0,33.0,0.0,2,2,0
26,LaSalle,146,77.64,6.7,91.01,51.18,0.0,97,49,0
27,Montréal-Nord,37,62.46,13.0,79.3,41.67,50.0,20,15,2
28,Côte-Saint-Luc,64,116.34,2.6,146.3,67.78,35.0,40,23,1
29,Mont-Royal,49,154.73,5.9,181.34,62.82,0.0,38,11,0
30,Beaconsfield,15,59.13,2.3,96.67,49.75,0.0,3,12,0
31,Lachine,111,94.59,3.8,107.52,56.29,0.0,83,28,0
32,Rosemont-La Petite-Patrie,1961,88.61,7.0,105.98,43.68,40.79,1415,532,14
